ID,Fullname,Rule
b4119,melA,(MelR | (MelR & Crp))
b4120,melB,(MelR | (MelR & Crp))
b4122,fumB,(Fnr | !Crp | DcuR | !NarL)
b4123,dcuB,((CRP_noMAN & Fnr & DcuR) & !NarL)
b4124,DcuR,DcuS
b4125,DcuS,(M_succ_b | M_asp__L_b | M_fum_b | M_mal__L_b)
b4131,cadA,(ArcA | CadC)
b4132,cadB,(ArcA | CadC)
b4133,CadC,M_lys__L_b
b4139,aspA,((Crp & !Fnr) | Fnr)
b4151,frdD,(Fnr | DcuR | !NarL)
b4152,frdC,(Fnr | DcuR | !NarL)
b4153,frdB,(Fnr | DcuR | !NarL)
b4154,frdA,(Fnr | DcuR | !NarL)
b4177,purA,(!PurR | RpoE)
b4238,nrdD,Fnr
b4239,treC,((!TreR & Crp) | !TreR)
b4240,treB,((!TreR & Crp) | !TreR)
b4241,TreR,!M_tre_b
b4244,pyrI,!(M_ura_b | M_gua_b)
b4245,pyrB,!(M_ura_b | M_gua_b)
b4254,argI,!ArgR
b4264,IdnR,(M_idon__L_b | M_5dglcn_b)
b4265,idnT,IdnR
b4266,idnO,IdnR
b4267,idnD,IdnR
b4321,gntP,(Crp & !M_glcn_b)
b4322,uxuA,(!ExuR & !UxuR)
b4323,uxuB,(!ExuR & !UxuR)
b4324,UxuR,(![R_MANAO > 0] & ![R_GUI1 > 0] & ![R_MANAO < 0] & ![R_GUI1 < 0])
b4381,deoC,(!DeoR | (!DeoR & Crp & !CytR))
b4382,deoA,(!(DeoR | CytR) & Crp)
b4383,deoB,(!DeoR | (!DeoR & Crp & !CytR) | M_ins_b | M_gua_b)
b4384,deoD,(!DeoR | (!DeoR & !CytR) | M_ins_b | M_gua_b)
b4390,NadR,"high_NAD"
b4393,TrpR,M_trp__L_b
b4396,Rob,"dipyridyl"
b4401,ArcA,!M_o2_b
b3357,Crp,CRP_noGLC
CRP_GLCN,CRP_GLCN,M_glcn_b
CRP_noARAB,CRP_noARAB,!(M_glcn_b | M_glc__D_b | M_arab__L_b)
CRP_noGL,CRP_noGL,!(M_glcn_b | M_glc__D_b | M_arab__L_b | M_xyl__D_b | M_rib__D_b | M_mal__L_b | M_glyc_b)
CRP_noGLC,CRP_noGLC,!(M_glcn_b | M_glc__D_b)
CRP_noGLCN,CRP_noGLCN,!M_glcn_b
CRP_noMAN,CRP_noMAN,!(M_glcn_b | M_glc__D_b | M_arab__L_b | M_xyl__D_b | M_rib__D_b | M_mal__L_b | M_glyc_b | M_sbt__D_b | M_lac__D_b | M_man_b)
CRP_noLAC,CRP_noLAC,!(M_glcn_b | M_glc__D_b | M_arab__L_b | M_xyl__D_b | M_rib__D_b | M_mal__L_b | M_glyc_b | M_sbt__D_b | M_lac__D_b)
CRP_noGLT,CRP_noGLT,!(M_glcn_b | M_glc__D_b | M_arab__L_b | M_xyl__D_b | M_rib__D_b | M_mal__L_b | M_glyc_b | M_sbt__D_b)
CRP_noMAL,CRP_noMAL,!(M_glcn_b | M_glc__D_b | M_arab__L_b | M_xyl__D_b | M_rib__D_b | M_mal__L_b)
CRP_noRIB,CRP_noRIB,!(M_glcn_b | M_glc__D_b | M_arab__L_b | M_xyl__D_b | M_rib__D_b)
CRP_noSUCC,CRP_noSUCC,!(M_glcn_b | M_glc__D_b | M_arab__L_b | M_xyl__D_b | M_rib__D_b | M_mal__L_b | M_glyc_b | M_sbt__D_b | M_lac__D_b | M_man_b | M_succ_b)
CRP_noXYL,CRP_noXYL,!(M_glcn_b | M_glc__D_b | M_arab__L_b | M_xyl__D_b)
Surplus_FDP,Surplus_FDP,((![R_FBP > 0] & !([R_TKT2 > 0] | [R_TALA > 0] | [R_PGI > 0])) | M_fru_b)
