b3666, uhpT, (Crp | UhpA)
b3668, uhpB, M_g6p_e
b3669, uhpA, UhpB
b3670, ilvN, (!(M_leu__L_e | M_val__L_e) & Crp)
b3671, ilvB, (!(M_leu__L_e | M_val__L_e) & Crp)
b3691, dgoT, M_galctn__D_e
b3692, dgoA, M_galctn__D_e
b3693, dgoK, M_galctn__D_e
b3708, tnaA, (Crp & (M_trp__L_e | M_cys__L_e))
b3709, tnaB, (Crp & M_trp__L_e)
b3725, pstB, PhoB
b3726, pstA, PhoB
b3727, pstC, PhoB
b3728, pstS, PhoB
b3730, glmU, NagC
b3743, asnC, (!M_asn__L_e & NRI_hi)
b3744, asnA, (!M_asn__L_e & AsnC)
b3748, rbsD, (CRP_noXYL & !RbsR)
b3749, rbsA, (CRP_noXYL & !RbsR)
b3750, rbsC, (CRP_noXYL & !RbsR)
b3751, rbsB, (CRP_noXYL & !RbsR)
b3752, rbsK, (CRP_noXYL & !RbsR)
b3753, rbsR, !M_rib__D_e
b3767, ilvG_1, (!(M_leu__L_e | M_ile__L_e | M_val__L_e) & Lrp)
b3768, ilvG_2, (!(M_leu__L_e | M_ile__L_e | M_val__L_e) & Lrp)
b3769, ilvM, (!(M_leu__L_e | M_ile__L_e | M_val__L_e) & Lrp)
b3773, ilvY, !M_val__L_e
b3774, ilvC, IlvY
b3806, cyaA, !Crp
b3828, metR, !M_met__L_e
b3829, metE, (!MetJ & MetR)
b3831, udp, (!CytR | Crp)
b3845, fadA, (!FadR2 | !ArcA)
b3846, fadB, (!FadR2 | !ArcA)
b3868, glnG, ![M_nh4_e > 2]
b3869, glnL, 1
b3870, glnA, (Crp & RpoN)
b3892, fdoI, (M_o2_e | (!M_o2_e & M_no3_e))
b3893, fdoH, (M_o2_e | (!M_o2_e & M_no3_e))
b3894, fdoG, (M_o2_e | (!M_o2_e & M_no3_e))
b3902, rhaD, (RhaS | (RhaS & Crp))
b3903, rhaA, (RhaS | (RhaS & Crp))
b3904, rhaB, (RhaS | (RhaS & Crp))
b3905, rhaS, RhaR
b3906, rhaR, M_rmn_e
b3907, rhaT, (RhaS | (RhaS & Crp))
b3908, sodA, (!(ArcA | Fur) | MarA | Rob | SoxS)
b3909, kdgT, !KdgR
b3912, cpxR, "Stress"
b3917, sbp, CysB
b3926, glpK, (CRP_noMAL & !GlpR)
b3934, cytR, M_cytd_e
b3938, metJ, M_met__L_e
b3939, metB, !MetJ
b3940, metL, !MetJ
b3942, katG, ([R_Growth > 0] & OxyR & RpoS)
b3951, pflD, (ArcA | Fnr)
b3952, pflC, (ArcA | Fnr)
b3957, argE, !ArgR
b3958, argC, !ArgR
b3959, argB, !ArgR
b3960, argH, !ArgR
b3961, oxyR, M_h2o2_e
b3973, birA, M_btn_e
b4005, purD, !PurR
b4013, metA, (!MetJ | MetR)
b4014, aceB, (!IclR & (!ArcA | !Cra))
b4015, aceA, (!IclR & (!ArcA | !Cra))
b4018, iclR, FadR
b4019, metH, MetR
b4024, lysC, !M_lys__L_e
b4031, xylE, XylR
b4032, malG, ((MalT & Crp) | MalT)
b4033, malF, ((MalT & Crp) | MalT)
b4034, malE, ((MalT & Crp) | MalT)
b4035, malK, ((MalT & Crp) | MalT)
b4036, lamB, ((MalT & Crp) | MalT)
b4039, ubiC, (!Fnr & Crp)
b4040, ubiA, (!Fnr & Crp)
b4054, tyrB, !((M_phe__L_e | M_tyr__L_e) & TyrR)
b4062, soxS, SoxR
b4063, soxR, (M_h2o2_e | "Oxidative Stress")
b4069, acs, (RpoS | Fnr | (!IclR & CRP_noSUCC))
b4079, fdhF, (FhlA & RpoN & !M_o2_e)
b4089, rpiR, !M_rib__D_e
b4090, rpiB, !RpiR
b4111, proP, (!Crp & Fis & RpoS)
b4116, adiY, ([R_pH < 7] & !M_o2_e & !"Rich Medium")
b4117, adiA, AdiY
b4118, melR, (M_melib_e | (M_melib_e & Crp))
b4119, melA, (MelR | (MelR & Crp))
b4120, melB, (MelR | (MelR & Crp))
